Bird,Day,Trial,Site,Time,EventType
darkblue15,30,5,7,1776.4310002327,3
darkblue15,30,5,13,1777.72499844432,3
darkblue15,30,5,9,1778.91499400139,3
darkblue15,30,5,42,1781.31199367344,2
darkblue15,30,5,3,1787.6969922334,3
darkblue15,30,5,9,1789.11399319768,3
darkblue15,30,5,26,1789.67399820685,3
darkblue15,30,5,36,1790.84599949419,3
darkblue15,30,5,44,1791.52799136937,3
darkblue15,30,5,37,1792.15799197555,3
darkblue15,30,5,48,1793.66199709475,3
darkblue15,30,5,56,1794.32699047029,3
darkblue15,31,1,44,229.836995154619,3
darkblue15,31,1,43,230.432002991438,3
darkblue15,31,1,36,231.096996366978,3
darkblue15,31,1,13,233.616003021598,3
darkblue15,31,1,28,235.014999657869,3
darkblue15,31,1,37,236.694994568825,3
darkblue15,31,1,39,237.67500333488,3
darkblue15,31,1,42,241.697994992137,3
darkblue15,31,1,36,242.55500100553,3
darkblue15,31,1,39,244.094994664192,3
darkblue15,31,1,13,245.773993805051,3
darkblue15,31,1,26,248.607995733619,3
darkblue15,31,1,42,249.325996264815,3
darkblue15,31,1,33,251.669998839498,3
darkblue15,31,1,17,255.238999798894,2
darkblue15,31,1,2,256.953001767397,3
darkblue15,31,1,10,258.230001479387,3
darkblue15,31,1,30,260.731999576092,3
darkblue15,31,1,29,261.152003332973,3
darkblue15,31,1,45,263.12800347805,3
darkblue15,31,1,37,263.635997101665,3
darkblue15,31,1,26,265.209997817874,3
darkblue15,31,1,20,266.434996202588,3
darkblue15,31,1,3,267.361997812986,3
darkblue15,31,1,26,350.476000830531,3
darkblue15,31,1,52,353.572000935674,3
darkblue15,31,1,51,433.327995613217,3
darkblue15,31,1,10,438.156002014875,3
darkblue15,31,1,9,438.891001045704,3
darkblue15,31,1,41,442.529997602105,3
darkblue15,31,1,33,443.019001185894,3
darkblue15,31,1,34,443.492002040148,3
darkblue15,31,1,39,445.504000782967,3
darkblue15,31,1,35,449.299997091293,3
darkblue15,31,1,36,450.069003179669,3
darkblue15,31,1,44,450.647002458572,3
darkblue15,31,1,38,451.311995834112,3
darkblue15,31,1,39,451.976003497839,3
darkblue15,31,1,13,456.192003563046,1
darkblue15,31,1,12,459.569001942873,3
darkblue15,31,1,5,461.143002659082,3
darkblue15,31,1,6,461.719996109605,3
darkblue15,31,1,7,462.420002371073,3
darkblue15,31,1,14,463.3649982512,3
darkblue15,31,1,13,464.729002118111,2
darkblue15,31,1,17,493.542002141476,1
darkblue15,31,1,51,498.352999985218,3
darkblue15,31,1,47,516.668993979692,1
darkblue15,31,2,19,647.086995095015,3
darkblue15,31,2,47,654.783996194601,3
darkblue15,31,2,26,658.773000910878,3
darkblue15,31,2,42,660.330003127456,3
darkblue15,31,2,50,661.151996254921,3
darkblue15,31,2,52,662.183996289968,3
darkblue15,31,2,55,663.269003480673,3
darkblue15,31,2,39,664.144003763795,3
darkblue15,31,2,41,667.956998571754,3
darkblue15,31,2,47,670.826003327966,3
darkblue15,31,2,6,676.231998950243,3
darkblue15,31,2,7,676.949003711343,3
darkblue15,31,2,16,677.753998339176,3
darkblue15,31,2,31,678.943993896246,3
darkblue15,31,2,25,682.214998081326,3
darkblue15,31,2,52,684.121998399496,3
darkblue15,31,2,54,685.206995531917,3
darkblue15,31,2,55,685.76599471271,3
darkblue15,31,2,13,688.547995314002,3
darkblue15,31,2,51,717.412996664643,3
darkblue15,31,2,20,719.511999562383,3
darkblue15,31,2,28,719.966996088624,3
darkblue15,31,2,21,720.596996694803,3
darkblue15,31,2,30,721.471996977925,3
darkblue15,31,2,23,722.275995835662,3
darkblue15,31,2,13,723.342998698354,3
darkblue15,31,2,3,724.969996511936,3
darkblue15,31,2,10,725.652994215488,3
darkblue15,31,2,26,726.82499550283,3
darkblue15,31,2,25,727.628994360566,3
darkblue15,31,2,17,731.47799782455,2
darkblue15,31,2,37,736.98900192976,3
darkblue15,31,2,21,738.335997238755,3
darkblue15,31,2,3,739.31500017643,3
darkblue15,31,2,9,740.330001711845,3
darkblue15,31,2,26,740.679999813437,1
darkblue15,31,2,26,744.178995117545,2
darkblue15,31,2,52,745.473003387451,1
darkblue15,31,2,51,748.412003740668,3
darkblue15,31,2,52,749.811996147037,2
darkblue15,31,2,21,773.830996826291,3
darkblue15,31,2,28,774.477995932102,3
darkblue15,31,2,27,775.126000866294,3
darkblue15,31,2,36,776.788001507521,3
darkblue15,31,2,44,777.504996210337,3
darkblue15,31,2,37,778.065001219511,3
darkblue15,31,2,38,778.502003476024,3
darkblue15,31,2,29,779.254001006484,3
darkblue15,31,2,22,779.989000037313,3
darkblue15,31,2,13,780.443996563554,3
darkblue15,31,2,12,781.056002900004,3
darkblue15,31,2,11,781.563996523619,3
darkblue15,31,2,26,782.857994735241,3
darkblue15,31,2,36,784.816996380687,3
darkblue15,31,2,44,785.499994084239,3
darkblue15,31,2,37,786.076997593045,3
darkblue15,31,2,38,786.618998274207,3
darkblue15,31,2,29,787.563994154334,3
darkblue15,31,2,21,788.316001743078,3
darkblue15,31,2,4,789.872993901372,3
darkblue15,31,2,6,791.343002021313,3
darkblue15,31,2,14,791.797998547554,3
darkblue15,31,2,26,793.512000516057,3
darkblue15,31,2,42,794.42199356854,3
darkblue15,31,2,41,794.963994249701,3
darkblue15,31,2,52,796.643003448844,3
darkblue15,31,2,53,797.326001152396,3
darkblue15,31,2,54,798.392993956804,3
darkblue15,31,2,52,808.18899795413,3
darkblue15,31,2,53,808.871995657682,3
darkblue15,31,2,37,809.501000493765,3
darkblue15,31,2,38,810.060995444655,3
darkblue15,31,2,48,811.040994152427,3
darkblue15,31,2,47,812.597996369004,2
darkblue15,31,2,52,818.335995823145,1
darkblue15,31,2,26,820.907999575138,3
darkblue15,31,2,42,821.607000008225,3
darkblue15,31,2,52,824.039002507925,2
darkblue15,31,2,16,839.765994250774,3
